Entity,SOP,SubSOP,Module_Name,Parent_Context
Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,14_Add Items to Purchase Order Using Advanced Line Entry,CSD > Document Library > PURCHASING > 01_Purchase Order Entry to Print
Scott Electric Distribution,FINANCIAL,Credit,"02_Customer Inquiry with Past Due Invoices, Large Dollar Amount Balance",CSD > Document Library > FINANCIAL > Credit
Scott Electric Distribution,FINANCIAL,Accounts Payable,19_Select Invoices for Payment,CSD > Document Library > FINANCIAL > Accounts Payable > 02_Basic AP Process
Scott Electric Distribution,PJM,01_Basic Bidding Process,03_Establish Job Entry,CSD > Document Library > PJM > 01_Basic Bidding Process
PALCO,ISM,02_Rental Process,10_Close Rental,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 02_Rental Process
Scott Electric Distribution,PURCHASING,08_Miscellaneous,04_Accumulative POs,CSD > Document Library > PURCHASING > 08_Miscellaneous
Scott Electric Distribution,PJM,04_Customer Quote Creation,05_Email Customer Quote,CSD > Document Library > PJM > 04_Customer Quote Creation
Scott Electric Distribution,SALES,01_Order Entry,07_Enter a Return Order,CSD > Document Library > SALES > 01_Order Entry
PALCO,SALES,03_Order Review,03_Use Order Inquiry to Search for Orders,CSD > Document Library > PALCO POWER SYSTEMS > SALES > 03_Order Review
Scott Electric Distribution,PURCHASING,08_Miscellaneous,10_Correcting a Wrong Cost Receipt,CSD > Document Library > PURCHASING > 08_Miscellaneous
Scott Electric Distribution,FINANCIAL,Accounts Receivable,15_Apply Misc Cash,CSD > Document Library > FINANCIAL > Accounts Receivable > 02_Quote to Cash
PALCO,ISM,01_Service Order Process,05_Add SRO Lines,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 01_Service Order Process
Scott Electric Distribution,PRICING,,08E_ICSEC Option,CSD > Document Library > PRICING
Scott Electric Distribution,PRICING,,11A_ PDSP - Level 1 - Customer/Product,CSD > Document Library > PRICING
Scott Electric Distribution,,,Test for Subi,CSD > Document Library
Scott Electric Distribution,PRICING,,11D_PDSP - Level 2 - Customer/Product Category,CSD > Document Library > PRICING
Scott Electric Distribution,SALES,01_Order Entry,06_Enter a Non-Stock Product on an Order,CSD > Document Library > SALES > 01_Order Entry
Scott Electric Distribution,FINANCIAL,Accounts Receivable,08_Process Short Payment,CSD > Document Library > FINANCIAL > Accounts Receivable > 02_Quote to Cash
Scott Electric Distribution,PURCHASING,06.5_Run Reports,01_Print PO Expedite Report,CSD > Document Library > PURCHASING > 06.5_Run Reports
PALCO,ISM,03_Warranty Process,07_Mark Accepted,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 03_Warranty Process
