RoleName,Entity,SOP,SubSOP,Coverage
OPS Warehouse - Basic,Scott Electric Distribution,OPERATIONS,,ALL
OPS Warehouse - Basic,Scott Electric Distribution,OPERATIONS,00_Basic Warehouse,ALL
OPS Warehouse - Basic,Scott Electric Distribution,OPERATIONS,02_Warehouse,ALL
OPS Warehouse - Basic,Scott Electric Distribution,PJM,01_Basic Bidding Process,NONE
OPS Warehouse - Basic,Scott Electric Distribution,PJM,04_Customer Quote Creation,NONE
OPS_REC,Scott Electric Distribution,Basics,,ALL
OPS_REC,Scott Electric Distribution,OPERATIONS,,ALL
OPS_REC,Scott Electric Distribution,OPERATIONS,00_Basic Warehouse,ALL
OPS_REC,Scott Electric Distribution,OPERATIONS,02_Warehouse,ALL
OPS_REC,Scott Electric Distribution,PJM,01_Basic Bidding Process,NONE
OPS_REC,Scott Electric Distribution,PJM,04_Customer Quote Creation,NONE
OPS_SUP,Scott Electric Distribution,Basics,,ALL
OPS_SUP,Scott Electric Distribution,OPERATIONS,,ALL
OPS_SUP,Scott Electric Distribution,OPERATIONS,00_Basic Warehouse,ALL
OPS_SUP,Scott Electric Distribution,OPERATIONS,02_Warehouse,ALL
OPS_SUP,Scott Electric Distribution,PJM,01_Basic Bidding Process,NONE
OPS_SUP,Scott Electric Distribution,PJM,04_Customer Quote Creation,NONE
OPS_WIRE,Scott Electric Distribution,Basics,,ALL
OPS_WIRE,Scott Electric Distribution,OPERATIONS,,ALL
OPS_WIRE,Scott Electric Distribution,OPERATIONS,00_Basic Warehouse,ALL
OPS_WIRE,Scott Electric Distribution,OPERATIONS,02_Warehouse,ALL
OPS_WIRE,Scott Electric Distribution,PJM,01_Basic Bidding Process,NONE
OPS_WIRE,Scott Electric Distribution,PJM,04_Customer Quote Creation,NONE
Outside Sales,Scott Electric Distribution,Basics,,ALL
Outside Sales,Scott Electric Distribution,PJM,01_Basic Bidding Process,NONE
Outside Sales,Scott Electric Distribution,PJM,04_Customer Quote Creation,NONE
PRI_BAS,Scott Electric Distribution,Basics,,ALL
PRI_BAS,Scott Electric Distribution,PJM,01_Basic Bidding Process,NONE
PRI_BAS,Scott Electric Distribution,PJM,04_Customer Quote Creation,NONE
PRI_BAS,Scott Electric Distribution,PRICING,,ALL
Purchasing Basic,Scott Electric Distribution,Basics,,ALL
Purchasing Basic,Scott Electric Distribution,PJM,01_Basic Bidding Process,NONE
Purchasing Basic,Scott Electric Distribution,PJM,04_Customer Quote Creation,NONE
Purchasing Basic,Scott Electric Distribution,PURCHASING,,ALL
Purchasing Basic,Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,ALL
Purchasing Basic,Scott Electric Distribution,PURCHASING,02_Replinishment Action Report Tasks,ALL
Purchasing Basic,Scott Electric Distribution,PURCHASING,03_Basic Product Line Setup,ALL
Purchasing Basic,Scott Electric Distribution,PURCHASING,04_PO Print to Receipt,ALL
Purchasing Basic,Scott Electric Distribution,PURCHASING,05_Return Merchandise PO to Shipment,ALL
Purchasing Basic,Scott Electric Distribution,PURCHASING,06.5_Run Reports,ALL
Purchasing Basic,Scott Electric Distribution,PURCHASING,06_Demand Tasks (DEM),ALL
Purchasing Basic,Scott Electric Distribution,PURCHASING,07_Warehouse Transfers,ALL
Purchasing Basic,Scott Electric Distribution,PURCHASING,08_Miscellaneous,ALL
Purchasing M,Scott Electric Distribution,Basics,,ALL
Purchasing M,Scott Electric Distribution,PJM,01_Basic Bidding Process,NONE
Purchasing M,Scott Electric Distribution,PJM,04_Customer Quote Creation,NONE
Purchasing M,Scott Electric Distribution,PURCHASING,,ALL
Purchasing M,Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,ALL
Purchasing M,Scott Electric Distribution,PURCHASING,02_Replinishment Action Report Tasks,ALL
