Entity,SOP,SubSOP,Module_Name,RoleName,Source,Flag
PALCO,ISM,01_Service Order Process,16_Create SRO Callback,SysAdmin,ALL,R
PALCO,ISM,01_Service Order Process,14_Close SRO,SysAdmin,ALL,R
PALCO,ISM,01_Service Order Process,12_Posting Transactions,SysAdmin,ALL,R
PALCO,ISM,01_Service Order Process,10_Receive the Non-Stock,SysAdmin,ALL,R
PALCO,ISM,01_Service Order Process,03_Incident to SRO,SysAdmin,ALL,R
PALCO,ISM,01_Service Order Process,06_Add Operations,SysAdmin,ALL,R
PALCO,ISM,01_Service Order Process,09_Print the Non-Stock PO,SysAdmin,ALL,R
PALCO,ISM,01_Service Order Process,01.2_CSD Incident,SysAdmin,ALL,R
PALCO,ISM,01_Service Order Process,05_Add SRO Lines,SysAdmin,ALL,R
PALCO,ISM,01_Service Order Process,07_Add Planned Transactions,SysAdmin,ALL,R
PALCO,ISM,01_Service Order Process,13_Invoicing in ISM,SysAdmin,ALL,R
PALCO,ISM,01_Service Order Process,04_Quick Create SRO,SysAdmin,ALL,R
PALCO,ISM,01_Service Order Process,08_Add a Non-Stock,SysAdmin,ALL,R
PALCO,ISM,02_Rental Process,14_Print RM PO,SysAdmin,ALL,R
PALCO,ISM,02_Rental Process,13_Add Freight to Rental,SysAdmin,ALL,R
PALCO,ISM,02_Rental Process,08_Check Out Rental,SysAdmin,ALL,R
PALCO,ISM,02_Rental Process,12_Receive Vendor RM PO,SysAdmin,ALL,R
PALCO,ISM,02_Rental Process,11_Change Billing Details,SysAdmin,ALL,R
PALCO,ISM,02_Rental Process,07_Receive Re Rent PO,SysAdmin,ALL,R
PALCO,ISM,02_Rental Process,10_Close Rental,SysAdmin,ALL,R
PALCO,ISM,02_Rental Process,04_Add Re Rent Items,SysAdmin,ALL,R
PALCO,ISM,02_Rental Process,01_Create Rental Contract,SysAdmin,ALL,R
PALCO,ISM,02_Rental Process,03_Print Rental Agreement,SysAdmin,ALL,R
PALCO,ISM,02_Rental Process,02_Add Rental Items,SysAdmin,ALL,R
PALCO,ISM,02_Rental Process,06_Print Re Rent PO,SysAdmin,ALL,R
PALCO,ISM,02_Rental Process,09_Check In Rental,SysAdmin,ALL,R
PALCO,ISM,03_Warranty Process,03_Change Working Status,SysAdmin,ALL,R
PALCO,ISM,03_Warranty Process,09_Vendor Invoice Center,SysAdmin,ALL,R
PALCO,ISM,03_Warranty Process,05_Customer Bill Override,SysAdmin,ALL,R
PALCO,ISM,03_Warranty Process,04_Change Operations,SysAdmin,ALL,R
PALCO,ISM,03_Warranty Process,07_Mark Accepted,SysAdmin,ALL,R
PALCO,ISM,03_Warranty Process,08_Mark Reconciled,SysAdmin,ALL,R
PALCO,ISM,03_Warranty Process,06_ISM Invoice,SysAdmin,ALL,R
PALCO,ISM,03_Warranty Process,01_Filter Working Status,SysAdmin,ALL,R
PALCO,ISM,04_ISM Set Up,01_Partner Set Up,SysAdmin,ALL,R
PALCO,ISM,04_ISM Set Up,08_Contract Rental Template,SysAdmin,ALL,R
PALCO,ISM,04_ISM Set Up,03_Create a New Work Code,SysAdmin,ALL,R
PALCO,ISM,04_ISM Set Up,07_Set Up a Rate,SysAdmin,ALL,R
PALCO,ISM,04_ISM Set Up,06_Create a Warranty Code,SysAdmin,ALL,R
PALCO,ISM,04_ISM Set Up,09_Contract Service Template PMA,SysAdmin,ALL,R
PALCO,ISM,04_ISM Set Up,02_Partners Schedule Set Up,SysAdmin,ALL,R
PALCO,ISM,04_ISM Set Up,05_Create an SRO Template,SysAdmin,ALL,R
PALCO,ISM,06_Register a Unit,01_Create a Customer Unit,SysAdmin,ALL,R
PALCO,ISM,06_Register a Unit,02_Add a Warranty to a Unit,SysAdmin,ALL,R
PALCO,ISM,07_Tech Mobile,01_Travel to Site,SysAdmin,ALL,R
PALCO,ISM,07_Tech Mobile,05_Close Appointment,SysAdmin,ALL,R
PALCO,ISM,07_Tech Mobile,04_Travel Leaving Site,SysAdmin,ALL,R
PALCO,ISM,07_Tech Mobile,02_Perform Site Work,SysAdmin,ALL,R
PALCO,ISM,07_Tech Mobile,03_Add Material,SysAdmin,ALL,R
