RoleName,Entity,SOP,SubSOP,Coverage,Entity_norm,SOP_norm,SubSOP_norm,RoleName_norm
CORE_MNS,Scott Electric Distribution,PURCHASING,02_Replinishment Action Report Tasks,ALL,Scott Electric Distribution,PURCHASING,02_Replinishment Action Report Tasks,CORE_MNS
CORE_MNS,Scott Electric Distribution,PURCHASING,03_Basic Product Line Setup,ALL,Scott Electric Distribution,PURCHASING,03_Basic Product Line Setup,CORE_MNS
CORE_MNS,Scott Electric Distribution,PURCHASING,04_PO Print to Receipt,ALL,Scott Electric Distribution,PURCHASING,04_PO Print to Receipt,CORE_MNS
CORE_MNS,Scott Electric Distribution,SALES,nan,ALL,Scott Electric Distribution,SALES,nan,CORE_MNS
CORE_MNS,Scott Electric Distribution,SALES,01_Order Entry,ALL,Scott Electric Distribution,SALES,01_Order Entry,CORE_MNS
CORE_MNS,Scott Electric Distribution,SALES,02_Order Modification,ALL,Scott Electric Distribution,SALES,02_Order Modification,CORE_MNS
CORE_MNS,Scott Electric Distribution,SALES,03_Order Review,ALL,Scott Electric Distribution,SALES,03_Order Review,CORE_MNS
CORE_MNS,Scott Electric Distribution,SALES,04_Order Copying and Conversion,ALL,Scott Electric Distribution,SALES,04_Order Copying and Conversion,CORE_MNS
CORE_MNS,Scott Electric Distribution,SALES,05_Product Management,ALL,Scott Electric Distribution,SALES,05_Product Management,CORE_MNS
CORE_MNS,Scott Electric Distribution,SALES,06_Lookup and Inquiry,ALL,Scott Electric Distribution,SALES,06_Lookup and Inquiry,CORE_MNS
